qc_id,objectid_1,join_count,target_fid,objectid,layer,name,elev,invert_el,max_depth,uwagi,id_well,uwagi2,uwagi22,id,h_m,uwagi3,elevk,invert_elk,gid,icon_url
"4","8","1","7",8,właz okrągły - siec kanalizacyjna (punkt),K201,212.93,211.62,"0",,"8",,,"8",1.31,,212.73,211.63,"16049",./0.png
"0","1","1","0",1,właz okrągły - siec kanalizacyjna (punkt),KD14,210.44,208.27,"0",,"1",,,"1",2.17,,210.44,208.55,"16042",./0.png
"1","5","1","4",5,właz okrągły - siec kanalizacyjna (punkt),KD10,210.38,208.1,"0",,"5",,,"5",2.28,,210.4,208.08,"16041",./0.png
"2","6","1","5",6,właz okrągły - siec kanalizacyjna (punkt),KD1,211.87,209.75,"0",,"6",,,"6",2.12,,211.89,209.85,"16043",./0.png
"3","7","1","6",7,właz okrągły - siec kanalizacyjna (punkt),KD3,213.18,211.6,"0",,"7",,,"7",1.58,,213.04,211.55,"16044",./0.png
"5","9","1","8",9,właz okrągły - siec kanalizacyjna (punkt),K202,214.02,212.57,"0",,"9",,,"9",1.45,,213.68,213.57,"16048",./0.png
"6","10","1","9",10,właz okrągły - siec kanalizacyjna (punkt),K203,215.3,213.51,"0",,"10",,,"10",1.79,,214.94,213.25,"16050",./0.png
"7","11","1","10",11,właz okrągły - siec kanalizacyjna (punkt),K204,216.13,214.19,"0",,"11",,,"11",1.94,,215.99,214.19,"15883",./0.png
"8","12","1","11",12,właz okrągły - siec kanalizacyjna (punkt),K214,217.04,214.63,"0",,"12",,,"12",2.41,,217.05,214.65,"15891",./0.png
"9","13","1","12",13,właz okrągły - siec kanalizacyjna (punkt),K205,220.66,219.1,"0",,"13",,,"13",1.56,,220.66,219.11,"15884",./0.png
"10","14","1","13",14,właz okrągły - siec kanalizacyjna (punkt),K206,220.44,218.72,"0",,"14",,,"14",1.72,,220.4,218.74,"39152",./0.png
"11","15","1","14",15,właz okrągły - siec kanalizacyjna (punkt),K207,220.22,218.22,"0",,"15",,,"15",2,,220.21,218.23,"15885",./0.png
"12","16","1","15",16,właz okrągły - siec kanalizacyjna (punkt),K208,219.37,217.77,"0",,"16",,,"16",1.6,,219.37,217.75,"15886",./0.png
"13","17","1","16",17,właz okrągły - siec kanalizacyjna (punkt),K209,218.82,217.28,"0",,"17",,,"17",1.54,,218.83,217.29,"15887",./0.png
"14","18","1","17",18,właz okrągły - siec kanalizacyjna (punkt),K210,218.14,216.52,"0",,"18",,,"18",1.62,,218.13,216.5,"15888",./0.png
"15","19","1","18",19,właz okrągły - siec kanalizacyjna (punkt),K211,217.43,215.77,"0",,"19",,,"19",1.66,,217.43,215.77,"15889",./0.png
"16","20","1","19",20,właz okrągły - siec kanalizacyjna (punkt),K212,217.14,215.22,"0",,"20",,,"20",1.92,,217.14,215.2,"15890",./0.png
"17","21","1","20",21,właz okrągły - siec kanalizacyjna (punkt),K213,217.08,214.97,"0",,"21",,,"21",2.11,,217.08,214.97,"15882",./0.png
"18","22","1","21",22,właz okrągły - siec kanalizacyjna (punkt),K241,228.56,226.69,"0",,"22",,,"22",1.87,,228.54,226.67,"15918",./0.png
"19","23","1","22",23,właz okrągły - siec kanalizacyjna (punkt),K240,227.84,226.09,"0",,"23",,,"23",1.75,,227.83,226.08,"15917",./0.png
"20","24","1","23",24,właz okrągły - siec kanalizacyjna (punkt),K239,226.38,224.46,"0",,"24",,,"24",1.92,,226.37,224.51,"15916",./0.png
"21","25","1","24",25,właz okrągły - siec kanalizacyjna (punkt),K238,225.61,223.86,"0",,"25",,,"25",1.75,,225.59,223.73,"15915",./0.png
"22","26","1","25",26,właz okrągły - siec kanalizacyjna (punkt),K237,224.44,222.63,"0",,"26",,,"26",1.81,,224.3,222.58,"15914",./0.png
"23","27","1","26",27,właz okrągły - siec kanalizacyjna (punkt),K236,223.81,222,"0",,"27",,,"27",1.81,,223.75,221.97,"15913",./0.png
"24","28","1","27",28,właz okrągły - siec kanalizacyjna (punkt),K223,224.86,223.72,"0",,"28",,,"28",1.14,,,,,./0.png
"25","29","1","28",29,właz okrągły - siec kanalizacyjna (punkt),K224,224.9,223.64,"0",,"29",,,"29",1.26,,,,,./0.png
"26","31","1","30",31,właz okrągły - siec kanalizacyjna (punkt),K225,224.52,222.58,"0",,"31",,,"31",1.94,,224.56,222.54,"15907",./0.png
